"","Fine_STE","Medium_STE","Coarse_STE","OTU_MetricCalc","Taxon","Taxon.Serial.Number","Mapped.Taxon.Serial.Number","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Exclusion_reason","Excluded","Coarse_STE_rank","Medium_STE_rank","Fine_STE_rank","Coarse_STE_attribute_use","Medium_STE_attribute_use","Fine_STE_attribute_use","Coarse_STE_HBI_use","Medium_STE_HBI_use","Fine_STE_HBI_use","Coarse_STE_MTI_use","Medium_STE_MTI_use","Fine_STE_MTI_use","Coarse_STE_FSBI_use","Medium_STE_FSBI_use","Fine_STE_FSBI_use","Coarse_STE_FSBI_use2","Medium_STE_FSBI_use2","Fine_STE_FSBI_use2"
"64","Ancylidae","Ancylidae","Ancylidae","Ancylidae","Ancylidae",76568,"76568","Mollusca","","","Gastropoda","","","","Basommatophora","","","","Ancylidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Ancylidae","Ancylidae","Ancylidae","Ancylidae","Ancylidae","Ancylidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Anisogammaridae","Anisogammaridae","Anisogammaridae","Anisogammaridae","Eogammarus confervicolus",656666,"203113","Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Anisogammaridae","","","","","","","","","","",NA,NA,"Family","Family","Family","Anisogammaridae","Anisogammaridae","Anisogammaridae","Amphipoda","Amphipoda","Amphipoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Anisogammaridae","Anisogammaridae","Anisogammaridae","Anisogammaridae","Anisogammaridae",203113,"203113","Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Anisogammaridae","","","","","","","","","","",NA,NA,"Family","Family","Family","Anisogammaridae","Anisogammaridae","Anisogammaridae","Amphipoda","Amphipoda","Amphipoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Anisogammaridae","Anisogammaridae","Anisogammaridae","Anisogammaridae","Eogammarus",93843,"203113","Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Anisogammaridae","","","","","","","","","","",NA,NA,"Family","Family","Family","Anisogammaridae","Anisogammaridae","Anisogammaridae","Amphipoda","Amphipoda","Amphipoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Anisoptera","Anisoptera","Anisoptera","Anisoptera","Anisoptera",101594,"101594","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Anisoptera","","","","","","","","","","","","","",NA,NA,"Suborder","Suborder","Suborder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Anodonta","Anodonta","Anodonta","Anodonta","Anodonta",79930,"79930","Mollusca","","","Bivalvia","Palaeoheterodonta","","","Unionoida","","","","Unionidae","","","","","","Anodonta","","","","",NA,NA,"Genus","Genus","Genus","Unionidae","Unionidae","Unionidae","Anodonta","Anodonta","Anodonta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Anopheles","Anopheles","Anopheles","Anopheles","Anopheles",125956,"125956","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Culicidae","Anophelinae","","","","","Anopheles","","","","",NA,NA,"Genus","Genus","Genus","Anopheles","Anopheles","Anopheles","Diptera","Diptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Antocha","Antocha","Antocha","Antocha","Antocha monticola",119660,"119656","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","","Tipulidae","Limoniinae","","Limoniini","","","Antocha","","","","",NA,NA,"Genus","Genus","Genus","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha"
"72","Antocha","Antocha","Antocha","Antocha","Antocha",119656,"119656","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","","Tipulidae","Limoniinae","","Limoniini","","","Antocha","","","","",NA,NA,"Genus","Genus","Genus","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha","Antocha"
"73","Apatania","Apatania","Apatania","Apatania","Apatania",115935,"115935","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Apataniidae","Apataniinae","","Apataniini","","","Apatania","","","","",NA,NA,"Genus","Genus","Genus","Apatania","Apatania","Apatania","Apatania","Apatania","Apatania",NA,NA,NA,"Apatania","Apatania","Apatania","Apatania","Apatania","Apatania"
"74","Apataniidae","Apataniidae","Apataniidae","Apataniidae","Apataniidae",598182,"598182","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Limnephiloidea","Apataniidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Trichoptera","Trichoptera","Trichoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Apedilum","Chironomini","Chironomidae","Apedilum","Apedilum",206655,"206655","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Apedilum","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Chironomini","Chironomini","Chironomidae","Chironomidae","Chironomidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Apsectrotanypus","Macropelopiini","Chironomidae","Apsectrotanypus","Apsectrotanypus",128021,"128021","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Tanypodinae","","Macropelopiini","","","Apsectrotanypus","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Macropelopiini","Apsectrotanypus","Chironomidae","Tanypodinae","Tanypodinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Apsectrotanypus","Macropelopiini","Chironomidae","Apsectrotanypus","Apsectrotanypus johnsoni",128024,"128021","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Tanypodinae","","Macropelopiini","","","Apsectrotanypus","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Macropelopiini","Apsectrotanypus","Chironomidae","Tanypodinae","Tanypodinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Aquarius","Aquarius","Aquarius","Aquarius","Aquarius",717547,"717547","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Hemiptera","Heteroptera","Gerromorpha","Gerroidea","Gerridae","Gerrinae","","","","","Aquarius","","","","","Gerridae",TRUE,"Genus","Genus","Genus","Aquarius","Aquarius","Aquarius","Gerridae","Gerridae","Gerridae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Arachnida","Arachnida","Arachnida","Arachnida","Arachnida",82708,"82708","Arthropoda","Chelicerata","","Arachnida","","","","","","","","","","","","","","","","","","","Arachnida",TRUE,"Class","Class","Class","Arachnida","Arachnida","Arachnida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Araeopidius monachus","Araeopidius monachus","Araeopidius monachus","Araeopidius monachus","Araeopidius monachus",708487,"708487","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Ptilodactylidae","Araeopidiinae","","","","","Araeopidius","","","monachus","",NA,NA,"Species","Species","Species","Coleoptera","Coleoptera","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Archilestes","Archilestes","Archilestes","Archilestes","Archilestes",102059,"102059","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Zygoptera","","","Lestidae","","","","","","Archilestes","","","","",NA,NA,"Genus","Genus","Genus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Arcteonais","Naididae","Oligochaeta","Arcteonais","Arcteonais lomondi",68976,"","Annelida","","","Clitellata","Oligochaeta","","","Tubificida","","","","Naididae","Naidinae","","","","","Arcteonais","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Naididae","Naidinae","Oligochaeta","Oligochaeta","Oligochaeta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Arctopsyche","Arctopsyche","Arctopsyche","Arctopsyche","Arctopsyche",115529,"115529","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Hydropsychidae","Arctopsychinae","","","","","Arctopsyche","","","","",NA,NA,"Genus","Genus","Genus","Arctopsyche","Arctopsyche","Arctopsyche","Arctopsyche","Arctopsyche","Arctopsyche",NA,NA,NA,"Arctopsyche","Arctopsyche","Arctopsyche","Arctopsyche","Arctopsyche","Arctopsyche"
"84","Arctopsyche","Arctopsyche","Arctopsyche","Arctopsyche","Arctopsyche grandis",115530,"115529","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Hydropsychidae","Arctopsychinae","","","","","Arctopsyche","","","","",NA,NA,"Genus","Genus","Genus","Arctopsyche","Arctopsyche","Arctopsyche","Arctopsyche","Arctopsyche","Arctopsyche",NA,NA,NA,"Arctopsyche","Arctopsyche","Arctopsyche","Arctopsyche","Arctopsyche","Arctopsyche"
"85","Arctopsychinae","Arctopsychinae","Arctopsychinae","Arctopsychinae","Arctopsychinae",568763,"568763","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Hydropsychidae","Arctopsychinae","","","","","","","","","",NA,NA,"Subfamily","Subfamily","Subfamily","Arctopsychinae","Arctopsychinae","Arctopsychinae","Arctopsychinae","Arctopsychinae","Arctopsychinae",NA,NA,NA,"Arctopsychinae","Arctopsychinae","Arctopsychinae","Arctopsychinae","Arctopsychinae","Arctopsychinae"
"86","Argia","Argia","Argia","Argia","Argia",102139,"102139","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Odonata","Zygoptera","","","Coenagrionidae","","","","","","Argia","","","","",NA,NA,"Genus","Genus","Genus","Argia","Argia","Argia","Argia","Argia","Argia",NA,NA,NA,NA,NA,NA,"Argia","Argia","Argia"
"87","Arrenuridae","Acari","Acari","Arrenuridae","Arrenuridae",82862,"82862","Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Arrenuridae","","","","","","","","","","","Acari",FALSE,"Subclass","Subclass","Family","Acari","Acari","Arrenuridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Arrenurus","Acari","Acari","Arrenurus","Arrenurus",82864,"82864","Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Arrenuridae","","","","","","Arrenurus","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Arrenuridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Asellidae","Asellidae","Asellidae","Asellidae","Asellidae",92657,"92657","Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Peracarida","Isopoda","Asellota","","Aselloidea","Asellidae","","","","","","","","","","","Asellota",FALSE,"Family","Family","Family","Asellidae","Asellidae","Asellidae","Isopoda","Isopoda","Isopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Asellus","Asellus","Asellus","Asellus","Asellus",92658,"92658","Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Peracarida","Isopoda","Asellota","","Aselloidea","Asellidae","","","","","","Asellus","","","","","Asellota",FALSE,"Genus","Genus","Genus","Asellidae","Asellidae","Asellidae","Asellus","Asellus","Asellus","Asellus","Asellus","Asellus",NA,NA,NA,NA,NA,NA
"91","Asioplax","Asioplax","Asioplax","Asioplax","Asioplax edmundsi",609625,"","Arthropoda","Hexapoda","","Insecta","Pterygota","","","Ephemeroptera","Furcatergalia","","","Leptohyphidae","","","","","","Asioplax","","","","",NA,NA,"Genus","Genus","Genus","Leptohyphidae","Leptohyphidae","Leptohyphidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Astacidae","Astacidae","Astacidae","Astacidae","Astacidae",97324,"97324","Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Astacidea","Astacoidea","Astacidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Decapoda","Decapoda","Decapoda","Astacidae","Astacidae","Astacidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Atherix","Atherix","Atherix","Atherix","Atherix",130929,"130929","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Brachycera","Tabanomorpha","","Athericidae","","","","","","Atherix","","","","",NA,NA,"Genus","Genus","Genus","Atherix","Atherix","Atherix","Atherix","Atherix","Atherix",NA,NA,NA,"Atherix","Atherix","Atherix","Atherix","Atherix","Atherix"
"94","Athienemanniidae","Acari","Acari","Athienemanniidae","Athienemanniidae",83514,"83514","Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Athienemanniidae","","","","","","","","","","","Acari",FALSE,"Subclass","Subclass","Family","Acari","Acari","Trombidiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Atractelmis","Atractelmis","Atractelmis","Atractelmis","Atractelmis wawona",114252,"","Arthropoda","Hexapoda","","Insecta","Pterygota","","","Coleoptera","Polyphaga","","","Elmidae","Elminae","","Elmini","","","Atractelmis","","","","",NA,NA,"Genus","Genus","Genus","Elmidae","Elmidae","Elmidae","Atractelmis","Atractelmis","Atractelmis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Atractides","Acari","Acari","Atractides","Atractides",83282,"83282","Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Hygrobatidae","","","","","","Atractides","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Atractides",NA,NA,"Hygrobatidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Atractides","Acari","Acari","Atractides","Atractidae",63894,"83282","Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Hygrobatidae","","","","","","Atractides","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Atractides",NA,NA,"Hygrobatidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Attenella","Attenella","Attenella","Attenella","Attenella",101338,"101338","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Attenella","","","","",NA,NA,"Genus","Genus","Genus","Attenella","Attenella","Attenella","Attenella","Attenella","Attenella",NA,NA,NA,"Attenella","Attenella","Attenella","Attenella","Attenella","Attenella"
"99","Attenella delantala","Attenella delantala","Attenella delantala","Attenella delantala","Attenella delantala",101345,"101345","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Attenella","","","delantala","",NA,NA,"Species","Species","Species","Attenella delantala","Attenella delantala","Attenella delantala","Attenella delantala","Attenella delantala","Attenella delantala",NA,NA,NA,"Attenella","Attenella","Attenella","Attenella delantala","Attenella delantala","Attenella delantala"
"100","Attenella margarita","Attenella margarita","Attenella margarita","Attenella margarita","Attenella margarita",101343,"101343","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae","","","","","","Attenella","","","margarita","",NA,NA,"Species","Species","Species","Attenella margarita","Attenella margarita","Attenella margarita","Attenella","Attenella","Attenella","Attenella margarita","Attenella margarita","Attenella margarita","Attenella margarita","Attenella margarita","Attenella margarita","Attenella margarita","Attenella margarita","Attenella margarita"
"101","Aturidae","Acari","Acari","Aturidae","Aturidae",82973,"82973","Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Aturidae","","","","","","","","","","","Acari",FALSE,"Subclass","Subclass","Family","Acari","Acari","Trombidiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Aturus","Acari","Acari","Aturus","Aturus",82974,"82974","Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Aturidae","","","","","","Aturus","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Trombidiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Aulodrilus","Tubificidae","Oligochaeta","Aulodrilus","Aulodrilus",68679,"68679","Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Tubificidae","","","","","","Aulodrilus","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Tubificidae","Aulodrilus","Oligochaeta","Tubificidae","Tubificidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Aulodrilus","Tubificidae","Oligochaeta","Aulodrilus","Aulodrilus pluriseta",68684,"68679","Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Tubificidae","","","","","","Aulodrilus","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Tubificidae","Aulodrilus","Oligochaeta","Tubificidae","Tubificidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Austrolimnophila","Austrolimnophila","Austrolimnophila","Austrolimnophila","Austrolimnophila",120037,"120037","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Tipulomorpha","","Tipulidae","Limoniinae","","Hexatomini","","","Austrolimnophila","","","","",NA,NA,"Genus","Genus","Genus","Limoniinae","Limoniinae","Limoniinae","Diptera","Diptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Babia","Babia","Babia","Babia","Babia",719777,"719777","Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Cucujiformia","Chrysomeloidea","Chrysomelidae","Cryptocephalinae","","Clytrini","","","Babia","","","","","Chrysomelidae",TRUE,"Genus","Genus","Genus","Coleoptera","Coleoptera","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Baetidae","Baetidae","Baetidae","Baetidae","Baetidae",100755,"100755","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Baetidae","Baetidae","Baetidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Baetis","Baetis","Baetis","Baetis","Baetis",100800,"100800","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Baetis","","","","",NA,NA,"Genus","Genus","Genus","Baetis","Baetis","Baetis","Baetis","Baetis","Baetis",NA,NA,NA,NA,NA,NA,"Baetis","Baetis","Baetis"
"109","Baetis alius","Baetis alius","Baetis alius","Baetis alius","Baetis alius",100803,"100803","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Baetis","","","alius","",NA,NA,"Species","Species","Species","Baetis","Baetis","Baetis","Baetis alius","Baetis alius","Baetis alius",NA,NA,NA,NA,NA,NA,"Baetis","Baetis","Baetis"
"110","Baetis bicaudatus complex","Baetis bicaudatus complex","Baetis bicaudatus complex","Baetis bicaudatus complex","Baetis bicaudatus",100823,"-175","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Baetis","Baetis bicaudatus complex","","","",NA,NA,"Species.Group","Species.Group","Species.Group","Baetis","Baetis","Baetis","Baetis","Baetis","Baetis",NA,NA,NA,NA,NA,NA,"Baetis","Baetis","Baetis"
"111","Baetis bicaudatus complex","Baetis bicaudatus complex","Baetis bicaudatus complex","Baetis bicaudatus complex","Baetis bicaudatus complex",-175,"-175","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Baetis","Baetis bicaudatus complex","","","",NA,NA,"Species.Group","Species.Group","Species.Group","Baetis","Baetis","Baetis","Baetis","Baetis","Baetis",NA,NA,NA,NA,NA,NA,"Baetis","Baetis","Baetis"
"112","Baetis flavistriga complex","Baetis flavistriga complex","Baetis flavistriga complex","Baetis flavistriga complex","Baetis flavistriga complex",-173,"-173","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Baetis","Baetis flavistriga complex","","","",NA,NA,"Species.Group","Species.Group","Species.Group","Baetis","Baetis","Baetis","Baetis","Baetis","Baetis",NA,NA,NA,NA,NA,NA,"Baetis","Baetis","Baetis"
"113","Baetis flavistriga complex","Baetis flavistriga complex","Baetis flavistriga complex","Baetis flavistriga complex","Baetis flavistriga",100835,"-173","Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Baetis","Baetis flavistriga complex","","","",NA,NA,"Species.Group","Species.Group","Species.Group","Baetis","Baetis","Baetis","Baetis","Baetis","Baetis",NA,NA,NA,NA,NA,NA,"Baetis","Baetis","Baetis"
